workshop_id|bucket|asset_type|title|source_path|status|notes|validation_issues
04|Additional_Resources|pdf|Why.Are.Credit.Unions.Different.Than.Banks|Parts/Teaching Materials/Workshop 4/Resources/Why.Are.Credit.Unions.Different.Than.Banks.pdf|ok||
04|Additional_Resources|docx|Workshop 4 Additional Resources|Parts/Teaching Materials/Workshop 4/Resources/Workshop 4 Additional Resources.docx|ok||
04|Additional_Resources|pdf|Workshop 4 Additional Resources|Parts/Teaching Materials/Workshop 4/Resources/Workshop 4 Additional Resources.pdf|ok||
05|Handouts|pdf|1. ATMs and ATM Safety|Parts/Teaching Materials/Workshop 5/Handouts/1. ATMs and ATM Safety.pdf|ok||
05|Handouts|pdf|2. Best Online Banks of 2021|Parts/Teaching Materials/Workshop 5/Handouts/2. Best Online Banks of 2021.pdf|ok||
05|Handouts|docx|3. Options if You Can t Open a Traditional Bank Account|Parts/Teaching Materials/Workshop 5/Handouts/3. Options if You Can_t Open a Traditional Bank Account.docx|ok||
05|Handouts|pdf|3. Options if You Can t Open a Traditional Bank Account|Parts/Teaching Materials/Workshop 5/Handouts/3. Options if You Can_t Open a Traditional Bank Account.pdf|ok||
05|Handouts|pdf|4. Common Phone Scams|Parts/Teaching Materials/Workshop 5/Handouts/4. Common Phone Scams.pdf|ok||
05|Handouts|pdf|5. How to Avoid Identity Scams|Parts/Teaching Materials/Workshop 5/Handouts/5. How to Avoid Identity Scams.pdf|ok||
05|Handouts|pdf|6. Help for Identity Theft|Parts/Teaching Materials/Workshop 5/Handouts/6. Help for Identity Theft.pdf|ok||
05|Core_Resources|pptx|Money Basics PPT Workshop 5|Parts/Teaching Materials/Workshop 5/Money Basics PPT Workshop 5.pptx|ok||
05|Additional_Resources|pdf|1. What to Do if Your Debit Card is Lost or Stolen|Parts/Teaching Materials/Workshop 5/Resources/1. What to Do if Your Debit Card is Lost or Stolen.pdf|ok||
05|Additional_Resources|pdf|10. Online and Mobile Money Safety|Parts/Teaching Materials/Workshop 5/Resources/10. Online and Mobile Money Safety.pdf|ok||
05|Additional_Resources|pdf|11. First Aid for Identity Theft|Parts/Teaching Materials/Workshop 5/Resources/11. First Aid for Identity Theft.pdf|ok||
05|Additional_Resources|docx|12. How to Spot and Avoid Card Skimmers|Parts/Teaching Materials/Workshop 5/Resources/12. How to Spot and Avoid Card Skimmers.docx|ok||
05|Additional_Resources|pdf|12. How to Spot and Avoid Card Skimmers|Parts/Teaching Materials/Workshop 5/Resources/12. How to Spot and Avoid Card Skimmers.pdf|ok||
05|Additional_Resources|pdf|13. IRS Tips for Protecting Your Identity|Parts/Teaching Materials/Workshop 5/Resources/13. IRS Tips for Protecting Your Identity.pdf|ok||
05|Additional_Resources|pdf|14. Repairing Identity Theft|Parts/Teaching Materials/Workshop 5/Resources/14. Repairing Identity Theft.pdf|ok||
05|Additional_Resources|pdf|15. What To Do if You ve Been Scammed|Parts/Teaching Materials/Workshop 5/Resources/15. What To Do if You_ve Been Scammed.pdf|ok||
